"username";"followers_20180607";"followers_20180614";"followers_20180620";"following_20180607";"following_20180614";"following_20180620"
"eijikawashima01";39291;40489;44609;80;81;81
"elderson_echiejile";58225;60687;64070;46;44;45
"elmohamady";724765;730632;734656;247;248;247
"elnennym";3235989;3258779;3277057;118;121;122
"elpercoo119";100953;101368;102141;664;668;671
"elraton7";202991;208001;211760;1358;1358;1361
"emilhallfreds";12125;12603;17375;320;322;323
"emilkrafth";11311;11658;12159;415;417;417
"endowataru";37149;37738;38479;395;399;405
"ericdier15";623808;626561;628372;235;235;238
"erokhin___alexander";17323;17532;18261;181;182;184
"esmuellert";5399251;5476146;5574157;286;286;296
"essamelhadary73";42232;54105;58294;73;72;73
"ever19banega";487445;493248;495675;406;407;402
"f.fajr11";508922;552351;656260;58;58;59
"f6nte";330771;333880;337423;666;670;670
"fabian_delph";296677;300340;301711;370;371;370
"fabianschaer_official";58135;58776;69083;187;187;188
"fagneroficial23";615561;626255;635530;285;282;283
"fakhreddine_benyoussef";112499;116366;125412;85;85;85
"fedefazio20";267311;275367;280856;404;409;416
"fellaini";2541129;2539234;2533495;207;208;209
"ferjanisassioff";226035;233168;260742;110;109;109
"fernandinho";1213889;1229751;1259020;975;993;1002
"fidelescobar.m";484;484;484;1140;1138;1139
"filip_bradaric28";3616;3828;4163;204;207;213
"filipeluis";2902277;2928988;2950203;439;440;444
"filipkostic17";57188;57844;59347;182;159;161
"flotov";498794;513520;518693;147;148;149
"francoarmani34";366795;380643;397382;67;67;68
"fred08oficial";356285;377300;390134;878;862;859
"frederikroennow1";14835;15670;16291;132;132;134
"frederikschram";2472;2731;9842;499;503;502
"fridjonsson22";8094;8356;10754;896;902;909
"g10dearrascaeta";306658;312784;318063;596;599;601
"gabimercado25";607853;625044;637251;289;292;298
"garyjcahill";1716273;1715355;1711457;136;136;136
"gavilan0329";142431;146764;151006;3195;3214;3225
"gavra7";8565;8793;9257;185;187;188
"gelsondany77";165515;170325;172030;535;540;542
"gen.shoji3";38116;38510;39675;103;103;106
"geromeloficial";486148;491763;499407;260;261;259
"gf6_fernandes";19544;19699;20308;422;422;422
"goleador70";1224082;1227042;1235608;359;362;359
"goncaloguedes15";347527;358184;364458;384;383;385
"granitxhaka";1351058;1356311;1372481;460;462;465
"granqvistandreas";17824;18518;22637;206;206;207
"grujicmarko";423394;423784;423162;515;515;518
"grzegorz.krychowiak";601015;615409;630161;63;64;64
"gsilva.94";46648;49083;50948;229;231;235
"guerrero9";2483194;2533536;2589465;120;122;122
"guillermovarela4";364251;366835;372909;262;265;269
"guzman1803";47600;51120;NA;656;659;NA
"gylfisig23";158579;161238;188643;318;318;318
"h.herrera16";513317;542187;598843;349;349;352
"h.mendyl";205493;244585;312296;170;171;170
"hamdinaguez";95089;96608;96481;35;31;29
"haraguchi_genki_official";45667;46120;48994;103;106;105
"haris_seferovic_9";93328;93468;94692;302;303;306
"harrykane";4749287;4800642;4900858;128;129;129
"harrymaguire93";56300;59537;64237;428;429;429
"hazardeden_10";13204751;13309378;13391303;167;167;167
"hectormorenoh";793269;799226;810259;300;301;301
"hiroki.sakai_19";133770;134773;136228;175;175;175
"hirvinglozano";566502;580101;769692;95;94;94
"hm_son7";814068;815862;824989;159;159;158
"holmar_eyjolfsson";11249;11487;16878;579;584;587
"hongchul33";4031;4059;4137;383;381;380
"hordurmagnusson";20278;20961;37024;1254;1259;1266
"hugoac_4";176182;177339;182035;289;289;291
"hwangheechan";23275;23458;25427;139;138;139
"hziyech";525336;563514;631706;128;130;129
"i.aspas10";93502;99905;103828;456;456;457
"iamdanielarzani";15488;20089;24382;500;505;507
"iamdiafrasakho";80730;81143;81085;12;13;13
"iamhugolloris";220564;232977;248495;58;58;58
"ians_98";12445;14027;15165;612;630;635
"idovubryan";8231;8579;9046;405;406;405
"iganagueye";115757;117844;123364;102;103;104
"ighalojude";131727;134429;141615;324;324;327
"ikechukwu.ezenwa";7904;8091;8366;265;266;272
"ikiesethelin";25333;25569;25984;279;281;281
"ilkayguendogan";2164347;2184802;2187907;98;98;98
"ingason15";6212;6556;9539;303;303;303
"iscoalarcon";14472430;14581877;14656166;468;470;471
"ismaelldiiaz";79956;84365;88451;342;343;344
"ismaila_sarr_18";40190;42587;45588;103;105;107
"issou5";45385;49097;53507;397;399;403
"ivanperisic444";828659;832790;835802;580;578;581
"ivanrakitic";9779154;9823886;9798712;253;253;253
"iyasser12";1243084;1245452;1246042;100;102;103
"jacek_goralski_";8966;11527;12520;500;503;507
"jaesung17";23635;23702;24125;445;444;442
"jaimepenedo";107166;109957;112861;132;135;135
"jamesrodriguez10";37001501;37096474;37258142;425;427;427
"janbednarek_";42066;47914;54195;253;253;253
"jannikvestergaard";54575;55474;56937;373;375;376
"javieraquino7";628657;634427;651430;291;289;288
"jbutland_";187977;190474;191810;611;615;615
"jefferson_farfan_oficial";1835119;1867213;1904888;1184;1187;1190
"jeffersonlerma";26808;27639;29216;264;267;265
"jensstryger";6821;7865;9635;406;393;398
"jeromeboateng";5354404;5406584;5457648;158;158;158
"jesselingard";3629358;3663310;3708110;224;215;219
"jesusgallardo17";73184;76162;88871;107;110;114
"jf.moubandje21";3647;3844;4229;138;138;151
"jhenderson";1957852;1965876;1976976;141;141;145
"jimmydurmaz";74277;73346;71540;227;227;227
"jinsu_jung_a0531";5410;5672;6018;300;313;311
"jjesuscorona01";322430;329682;361266;133;134;136
"jmcr.17";2255;2405;2469;76;75;19
"joaome10";506350;507999;509278;524;528;529
"joelobi22";39925;40005;39981;237;238;239
"johan_djourou";97420;97732;98511;1008;1011;1011
"johanmojica";73235;77103;80119;355;356;354
"johannberggudmundsson";24601;25595;43484;478;482;483
"johanvenegascr";1105;1174;1652;24;24;23
"johnguidetti";298269;300346;301797;460;462;457
"johnstonesofficial";522407;525710;527634;157;157;157
"jona2santos";1372345;1399262;1453653;633;634;634
"jonasknudsen92";6290;6713;7966;323;327;333
"jonathan_urretaviscaya_oficial";51055;54441;56360;87;93;118
"jonathantah_";149247;149728;150360;132;137;137
"jondadib";18452;18988;26361;740;748;751
"jones_brad";115827;115901;115513;260;261;261
"jordialbaoficial";9615357;9647899;9685851;432;433;433
"josecarvallo86";73070;87596;100202;116;116;118
"joseizquierdo7";69974;72440;74494;441;438;436
"joselrodfc";1076;1102;1111;411;413;419
"josemariagimenez";691566;706108;757403;190;190;191
"josephcalderon29";26988;28992;30741;630;632;634
"joshrizzo92";5497;5709;6404;798;805;811
"josip_pivaric19";10030;10332;10758;109;111;110
"josipdrmic.92";8072;8414;9644;293;294;295
"jou_campbell";515156;517019;518843;901;908;909
"jpickford1";118212;121322;125126;233;233;233
"juanferquinterop";1240264;1248417;1279918;661;664;671
"julianbrandt";232991;238033;265826;182;182;178
"jvertonghen";663017;668329;671846;355;355;356
"k.mbappe29";8466431;8636233;8787139;233;238;238
"kamilglik25";315477;323235;328232;406;408;413
"kamilgrosicki10";377373;388109;397406;385;385;387
"kariiiiim10";268335;271440;281728;150;150;153
"kasperdolberg";326540;327161;325702;169;170;173
"kasperschmeichel";419107;420623;436783;812;815;816
"kea_8";290642;305849;325371;307;308;308
"keeperkalle";8106;8235;8418;477;482;485
"keisukehonda_official";341910;347629;356376;32;32;33
"keitabalde14";321335;326237;332870;110;116;117
"kelechi72";430355;436558;440932;342;345;354
"kendallwaston";128196;131386;135525;512;487;485
"kepaarrizabalaga";95285;97319;99136;201;201;207
"kevindebruyne";6030042;6059302;6060420;294;295;296
"kevintrapp";1506338;1521808;1612511;220;220;220
"keylornavas1";6984738;7062597;7103745;300;301;302
"kgustavsvensson";1349;1525;1934;23;26;27
"khadim_ndiaye_off";7241;9235;12105;56;51;51
"khalidzinzin";226600;245866;312536;636;640;643
"khalifa_officiel";19138;NA;NA;0;NA;NA
"kichanpavon";449409;492904;585034;2126;2121;974
"kimpembe3";1034331;1052393;1063931;313;317;320
"kingkara";167930;173236;177265;403;408;407
"kkoulibaly26";436128;439939;441681;231;233;234
"kmilov12";59196;60519;61185;746;746;744
"koke6";1869114;1878104;1889140;515;519;521
"krisnordfeldt";2275;2325;2593;94;94;94
"ktrippier2";53155;58336;68015;68;71;78
"kylewalker2";861123;875402;883684;530;529;533
"lasse.schone";165886;166745;167727;86;86;86
"lecks.7";31546;32042;33277;125;125;125
"leomessi";92723935;93190572;93830188;206;207;206
"leon_goretzka";460954;470326;519033;224;225;225
"leonbalogun";34741;35745;39809;602;602;602
"lerager12";6408;6761;6985;254;258;258
"leroysane19";2617071;2649686;2662757;170;170;170
"linetty_7";123626;127368;130358;375;375;378
"lmoreira02";13553;13906;14102;321;322;322
"locelsogiovani";434219;446541;455471;267;267;260
"lovre_kalinic91";44532;45719;46613;326;326;326
"ltorreira34";61299;75222;87433;1431;1422;1415
"lucashernandez5";372590;382441;397254;111;117;117
"lucasvazquez91";5902454;6005479;6065927;301;301;300
"ludwigaugustinsson";40539;40607;41155;358;359;362
"luiscarlosovalle";22551;24058;25454;629;641;647
"luissuarez9";27792665;27920729;28067580;81;82;84
"luka_milivojevic05";64402;65413;67665;366;347;347
"lukajovic_35";63238;64017;67700;687;656;654
"lukamodric10";10862403;10982975;11104414;361;362;364
"lukasz.fabianski";349370;357326;364885;22;22;22
"lukaszpiszczek_lp26";703947;711009;717809;128;130;130
"lukaszteodorczykofficial";19289;23876;28716;40;40;40
"m0uez";24854;33518;47345;444;440;448
"m10_official";16574108;16626329;16709680;174;175;175
"maaloul_ali_";134583;138542;145369;73;76;76
"maccajay";22093;22599;23612;479;481;481
"maciej31rybus";951;1490;2830;89;87;88
"mahditorabi.m";22746;23525;24671;184;183;184
"mahmoudhamdy_28";248345;252961;255673;217;220;219
"mahmoudtrezeguet";2395486;2482102;2551587;272;273;273
"makino.5_official";350053;358073;365543;318;318;317
"makoto_hasebe_official";151375;154019;161903;3;3;3
"manueldacosta_official";198045;216129;273205;397;397;401
"manuelneuer";9293020;9325593;9411362;84;84;84
"manulanzini";596063;658682;667739;444;440;439
"marcelo_brozovic";432868;436034;437845;401;401;401
"marcelotwelve";25918885;26310088;26753586;955;960;956
"marcinho11";6510212;6573210;6609018;158;159;159
"marcoasensio10";8420152;8560922;8705565;151;147;146
"marcofabian_10";607585;619382;657940;547;551;563
"marcos.acuna10";113973;119018;121291;286;292;294
"marcosrojo";2600037;2618296;2644916;429;429;432
"marcusberg.9";52181;52473;53327;219;219;220
"marcusrashford";4727664;4795560;4844086;94;94;95
"marcusrohden";5525;5553;5598;303;304;304
"mario";802696;806994;816027;457;458;457
"mario.fernandes02";12489;12891;19819;225;229;244
"mariomandzukic_official";2394992;2407471;2414575;87;87;87
"mariorui_6";104292;106766;108226;113;114;114
"markopjacaofficial";679955;678830;680327;203;203;203
"marquinhosm5";2335932;2363321;2398762;443;443;445
"martincaceres_7";766549;775693;786997;1;1;1
"martinolss3";30005;30027;30786;308;317;316
"marwan_mohsen9";355035;369892;385505;137;139;136
"mascherano14";4900577;4934267;4974426;172;173;173
"masoudsshojaei";266589;279512;305143;168;169;169
"massluongo";24947;25308;25571;235;236;237
"matadortejada18";25754;29017;31567;507;508;515
"mateokovacic8";4044862;4060501;4066603;351;355;357
"matthew_jurman";31695;30930;28941;556;540;532
"matyryan";79142;79568;82833;423;423;418
"matzeginter28";324463;325161;327884;235;236;236
"mayayoshida22";181414;184978;193668;144;142;144
"mbarkboussoufa14";119494;143480;209146;28;29;30
"mbatshuayi";1905812;1925727;1946926;206;207;207
"mbaye_niang11";1063050;1067394;1073420;246;253;255
"mcampi25";81861;84539;86778;170;171;174
"mehdicarcela";195008;205689;234551;784;787;789
"mfernandes1818";48337;53089;54718;95;96;97
"michaellang91";15074;15273;15621;103;106;106
"michalpazdan";61543;61519;61439;158;158;158
"miguel_layun";1472129;1496890;1617830;877;877;882
"miguelaborja23";492018;500278;504730;195;194;196
"miguelaraujo05";42778;52562;56286;782;668;538
"migueltraucofc";12571;12957;13922;7222;7227;7211
"mikaellustig";107535;108436;109740;289;291;292
"mikel_john_obi";683183;688710;698111;36;36;36
"miladmohammadi.official";106946;108447;118015;84;84;84
"milany_p";43072;43018;43296;211;211;209
"milejedinak15";72228;72680;76364;213;213;214
"milenkovicn_4";23130;23963;26204;311;314;321
"milosdegenek";15279;15804;16161;211;207;208
"miranchuk__jr60";59423;60560;64948;548;557;567
"miranchukaleksei";603;611;634;1584;1582;1577
"miranda023";1039448;1045965;1053745;312;316;327
"mohamedabdelshafy_of";110357;111345;111605;60;61;61
"mosalah";16318522;16821044;17391795;167;168;168
"motaz_hawsawi.25";402033;402612;402744;200;200;200
"mousadembele";597834;602582;603527;268;270;271
"moussawague15";14628;15955;17446;156;159;160
"mterstegen1";7339174;7355622;7353302;169;171;172
"muslera";1776057;1785727;1804974;573;581;591
"mveljkovic5";15285;15666;15991;53;60;59
"mzanka";57445;58868;63217;372;377;380
"n_amrabat_official";363045;391733;525614;131;131;131
"nabilfekir";611801;639791;646307;90;91;92
"nachofdez90";4621669;4658847;4711429;397;400;400
"nachomonreal_";509369;509948;511003;128;128;128
"nahuelguzman111";151503;159906;162817;205;207;210
"naim_slitifans";7392;7807;8111;91;92;94
"nc22back";231789;232018;234318;169;170;169
"ndidi25";303704;307120;299259;111;112;112
"negritime19";218824;228214;233524;3759;3944;4063
"nemanjamatic";971351;983106;1009657;138;143;146
"neymarjr";94187318;94631750;95441402;755;761;760
"nglkante";3023049;3058471;3079596;41;41;41
"nicoelvedi30";37130;37328;38463;266;267;271
"nicolaijorgensen9";103247;103696;104892;444;445;446
"nicolasotamendi30";1306715;1342537;1379249;280;282;282
"nigel_lamar999";14535;18904;26426;173;173;174
"nikolakalinic";260150;260407;259745;139;140;140
"nils_petersen18";54143;54932;55635;270;274;274
"nilson.loyola";39909;45491;48559;167;170;176
"nsuele25";373925;377045;379360;86;87;87
"o.dembele7";5784429;5835510;5858245;262;235;236
"obafemi_36";54709;55995;57973;312;316;317
"oduarte06";125468;127692;130211;591;593;593
"official_pepe";7523389;7596550;7627740;70;70;71
"oficialgio";1468266;1481772;1513434;419;419;421
"olatoivonen20";23301;23761;24695;226;227;226
"omar.4h";21376;22011;22289;44;45;46
"omargaber_4";1445626;1454316;1459899;667;675;678
"omarmateus";4474;4478;4469;1724;1716;1724
"omeruo";141738;144540;147107;1627;1638;1634
"onaziogenyi";179558;179200;178772;537;537;533
"oribepm";827391;839994;899665;589;593;577
"osamahawsawi3";489951;490895;491107;78;78;78
